element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Cu,2,226.37857,0.00004,226.378578,0.000007,1700000,1.8e+08,C,3,3,,
Cu,2,226.45671,0.00016,226.456423,0.000007,50000,1.4e+06,E,2,2,,
Cu,2,226.53643,0.00004,226.536424,0.000010,190000,1.25e+08,B,1,1,,
Cu,28,,,226.7,0.9,,,,0,1,,
Cu,2,227.47407,0.00006,227.474107,0.000008,150000,4.e+06,E,2,2,,
Cu,2,227.62577,0.00004,227.625797,0.000008,16000000,6.3e+07,C+,1,1,,
Cu,2,227.83378,0.00005,227.833737,0.000010,220000,1.32e+08,B+,2,1,,
Cu,2,228.09423,0.00004,228.09428,0.00003,260000,,,3,4,,
Cu,28,,,230.4,0.6,,,,0,1,,
Cu,2,228.4202,0.0004,228.419835,0.000021,17000,,,4,3,,
Cu,2,228.66447,0.00004,228.664494,0.000007,810000,1.52e+08,B+,3,2,,
Cu,2,228.94160,0.00004,228.941619,0.000008,170000,7.e+06,D,2,1,,
Cu,2,229.01606,0.00007,229.01612,0.00003,49000,,,2,3,,
Cu,2,229.10018,0.00004,229.100110,0.000012,550000,1.76e+08,B+,1,1,,
Cu,2,229.26896,0.00006,229.269060,0.000008,19000,4.e+05,E,2,2,,
Cu,2,229.29699,0.00006,229.29700,0.00003,20000,,,4,4,,
Cu,1,229.3845,0.0004,229.3847,0.0003,50a,,,5/2,3/2,,
Cu,2,229.43674,0.00004,229.436758,0.000007,15000000,3.4e+07,C+,2,2,,
Cu,3,229.947,,,,100,,,,,,
Cu,2,229.94885,0.00005,229.948891,0.000010,140000,1.07e+08,C,1,0,,
Cu,1,230.3117,0.0004,230.3122,0.0005,10a,,,3/2,5/2,,
Cu,2,230.95189,0.00004,230.951890,0.000006,200000,1.02e+07,C,1,2,,
Cu,2,231.5681,0.0005,231.56826,0.00004,17000,,,2,3,,
Cu,1,231.9563,0.0004,231.9571,0.0009,6a,,,3/2,3/2,,
Cu,2,232.30039,0.00005,232.300409,0.000006,200000,,,2,2,,
Cu,2,232.39280,0.00006,232.392802,0.000007,86000,,,2,1,,
Cu,2,232.59100,0.00017,232.590832,0.000012,25000,,,1,0,,
Cu,2,232.75669,0.00006,232.75672,0.00004,12000,,,3,2,,
Cu,2,233.3743,0.0003,233.375088,0.000022,23000,,,4,3,,
Cu,2,233.61707,0.00004,233.617057,0.000010,230000,4.9e+07,C,1,2,,
Cu,2,233.97275,0.00005,233.972732,0.000007,68000,,,2,3,,
Cu,2,234.13713,0.00012,234.13713,0.00012,17000,,,4,5,,
Cu,2,234.21723,0.00017,234.21734,0.00004,55000,,,2,3,,
Cu,2,234.7890,0.0020,234.78850,0.00004,9000*,,,2,1,,
Cu,2,234.7890,0.0020,234.7914,0.0003,9000*,,,2,2,,
Cu,1,234.8352,0.0017,234.8376,0.0022,2,,,1/2,3/2,,
Cu,2,234.87330,0.00004,234.873311,0.000008,120000,2.8e+07,B,1,1,,
Cu,2,235.01902,0.00008,235.018820,0.000007,14000,,,1,2,,
Cu,2,235.22911,0.00012,235.229447,0.000017,30000,,,4,5,,
Cu,2,235.39437,0.00005,235.39434,0.00004,27000,,,3,3,,
Cu,2,235.50143,0.00006,235.501447,0.000008,610000,2.5e+07,C+,1,2,,
Cu,2,235.66402,0.00005,235.664033,0.000009,1400000,3.0e+06,C+,1,2,,
Cu,2,236.06389,0.00009,236.06391,0.00009,9200,,,1,0,,
Cu,2,236.11901,0.00012,236.11910,0.00005,37000,,,1,2,,
Cu,2,236.26809,0.00009,236.268143,0.000008,26000,6.3e+06,C+,2,1,,
Cu,1,236.3199,0.0004,236.31997,0.00017,15a,7.e+04,E,1/2,3/2,,
Cu,2,236.41538,0.00006,236.415386,0.000008,57000,3.4e+06,B,2,2,,
Cu,2,236.6980,0.0003,236.69785,0.00004,8700,,,3,2,,
Cu,3,236.817,,,,500,,,,,,
Cu,2,236.98893,0.00005,236.988902,0.000009,12000000,5.3e+07,B,2,3,,
Cu,2,237.07464,0.00005,237.074698,0.000008,490000,2.4e+07,C+,1,1,,
Cu,2,237.63030,0.00004,237.630277,0.000010,330000,1.61e+08,C+,1,1,,
Cu,2,237.77920,0.00006,237.779223,0.000010,12000,3.5e+06,D+,1,2,,
Cu,2,237.84047,0.00007,237.84063,0.00006,19000,,,2,1,,
Cu,2,237.88442,0.00012,237.88439,0.00009,220000,,,2,2,,
Cu,2,237.94048,0.00012,237.94055,0.00005,53000,,,0,1,,
Cu,2,238.480,0.006,238.485893,0.000009,49000,6.e+05,E,3,2,,
Cu,2,238.49439,0.00004,238.494408,0.000009,100000,7.e+06,E,2,2,,
Cu,2,238.50951,0.00018,238.50945,0.00004,7400,,,2,2,,
Cu,3,239.174,,,,400,,,,,,
Cu,1,239.2630,0.0004,239.26279,0.00023,15a,,,3/2,1/2,,
Cu,2,239.26852,0.00018,239.26858,0.00009,6900,,,1,2,,
Cu,2,239.32599,0.00005,239.32602,0.00004,23000,,,3,4,,
Cu,2,239.40296,0.00005,239.40296,0.00004,20000,,,2,2,,
Cu,2,240.01140,0.00007,240.011404,0.000010,3700000,6.9e+06,C+,2,1,,
Cu,2,240.33373,0.00005,240.333713,0.000010,2200000,1.06e+08,C+,2,3,,
Cu,1,240.4864,0.0021,240.4869,0.0006,2h,,,1/2,3/2,,
Cu,3,240.550,,,,800,,,,,,
Cu,1,240.6665,0.0009,240.66660,0.00014,1500,,,3/2,3/2,,
Cu,3,241.234,,,,700,,,,,,
Cu,2,241.41881,0.00005,241.418856,0.000009,36000,2.e+06,E,1,1,,
Cu,2,241.48568,0.00005,241.48563,0.00004,37000,,,2,1,,
Cu,28,,,243.5,0.7,,,,1,1,,
Cu,1,241.5197,0.0017,241.5194,0.0004,5,,,1/2,3/2,,
Cu,1,241.6605,0.0017,241.6605,0.0006,5,,,3/2,1/2,,
Cu,1,242.0606,0.0021,242.0601,0.0018,1h,,,5/2,7/2,,
Cu,2,242.19424,0.00006,242.19425,0.00004,6700,,,2,3,,
Cu,2,242.44338,0.00003,242.443430,0.000009,1100000,5.0e+07,C+,0,1,,
Cu,2,242.6558,0.0005,242.65614,0.00009,10000,,,5,6,,
Cu,2,242.6996,0.0009,242.7016,0.0003,5000,,,2,2,,
Cu,2,242.89274,0.00005,242.892746,0.000009,38000,1.93e+07,C+,2,1,,
Cu,2,243.06772,0.00013,243.067651,0.000024,5600,,,4,4,,
Cu,2,243.2420,0.0003,243.24183,0.00005,4800,,,4,5,,
Cu,1,244.1637,0.0004,244.1633,0.0004,45a,2.01e+06,B,1/2,1/2,,
Cu,2,244.26646,0.00005,244.26646,0.00005,90000,,,4,5,,
Cu,2,244.33256,0.00005,244.332555,0.000011,44000,2.00e+07,B,1,1,,
Cu,28,,,245.7,0.7,,,,1,2,,
Cu,3,244.444,,,,2000,,,,,,
Cu,2,244.82143,0.00013,244.82131,0.00004,46000,,,0,1,,
Cu,2,245.2951,0.0006,245.29576,0.00007,3900,,,2,3,,
Cu,2,245.6008,0.0004,245.599461,0.000018,7600,,,4,4,,
Cu,1,245.774,0.006,245.773,0.004,5h,,,5/2,7/2,,
Cu,1,245.888,0.006,245.887,0.004,5h,,,5/2,5/2,,
Cu,1,246.093,0.006,246.096,0.005,5h,,,5/2,3/2,,
Cu,2,246.26140,0.00019,246.261266,0.000018,11000,,,4,5,,
Cu,2,246.4307,0.0005,246.430282,0.000018,3500,,,4,4,,
Cu,2,246.83475,0.00008,246.83480,0.00006,33000,,,1,0,,
Cu,3,246.841,,,,500,,,,,,
Cu,2,246.85000,0.00005,246.850111,0.000009,170000,1.30e+07,C+,2,2,,
Cu,1,247.083,0.006,247.082,0.006,0h,,,3/2,5/2,,
Cu,2,247.33333,0.00004,247.333345,0.000009,570000,5.9e+07,C+,1,2,,
Cu,1,247.4818,0.0017,247.4838,0.0018,5,,,3/2,5/2,,
Cu,2,247.64439,0.00007,247.644459,0.000019,15000,,,4,5,,
Cu,1,247.9564,0.0017,247.953,0.003,1,,,1/2,3/2,,
Cu,1,247.9754,0.0009,247.9748,0.0006,10,,,3/2,5/2,,
Cu,3,248.236,,,,1000,,,,,,
Cu,2,248.3784,0.0005,248.37876,0.00005,2900,,,1,2,,
Cu,2,248.57919,0.00005,248.579176,0.000010,1000000,1.42e+08,C+,2,1,,
Cu,3,248.646,,,,700,,,,,,
Cu,2,248.96523,0.00006,248.965236,0.000011,660000,1.0e+06,D+,2,2,,
Cu,1,249.2146,0.0021,249.21428,0.00019,2000r,2.79e+06,B,1/2,3/2,,
Cu,1,249.489,0.006,249.4901,0.0008,10,,,3/2,3/2,,
Cu,2,249.9001,0.0008,249.90132,0.00004,4900,,,2,2,,
Cu,2,250.14933,0.00013,250.14947,0.00005,4800,,,1,1,,
Cu,2,250.62727,0.00003,250.627258,0.000010,1000000,2.0e+08,C+,3,2,,
Cu,3,250.849,,,,500,,,,,,
Cu,2,251.42919,0.00010,251.42931,0.00004,4200,,,1,2,,
Cu,2,251.50822,0.00007,251.50831,0.00003,8400,,,3,3,,
Cu,2,251.89484,0.00005,251.89484,0.00005,34000,,,3,4,,
Cu,3,252.238,,,,500,,,,,,
Cu,2,252.63277,0.00014,252.63234,0.00004,1900,,,4,3,,
Cu,2,252.65923,0.00005,252.659232,0.000010,500000,2.7e+07,C+,3,3,,
Cu,2,252.930395,0.000021,252.930385,0.000010,940000,1.06e+08,C+,3,2,,
Cu,1,253.667,0.006,253.673,0.006,2h,,,9/2,7/2,,
Cu,1,253.686,0.006,253.691,0.005,2h,,,7/2,7/2,,
Cu,3,253.866,,,,500,,,,,,
Cu,1,254.038,0.006,254.040,0.005,5h,,,7/2,9/2,,
Cu,2,254.29345,0.00008,254.29357,0.00004,3200,,,3,2,,
Cu,16,254.47,,254.5+,,,3.28e+02,C,2,2,M1,
Cu,2,254.480509,0.000020,254.480482,0.000011,1200000,1.94e+08,B,4,3,,
Cu,1,254.748,0.006,254.7494,0.0016,10h,,,5/2,7/2,,
Cu,1,255.256,0.006,255.2552,0.0020,1h,,,7/2,7/2,,
Cu,1,255.329,0.006,255.326,0.003,2h,,,3/2,5/2,,
Cu,2,255.33430,0.00005,255.33430,0.00005,14000,,,2,3,,
Cu,2,255.63698,0.00009,255.63691,0.00003,2800,,,5,5,,
Cu,2,255.82130,0.00005,255.82134,0.00004,5400,,,5,6,,
Cu,2,255.94301,0.00014,255.94301,0.00013,2700,,,2,2,,
Cu,2,255.97925,0.00020,255.97938,0.00020,1300,,,1,1,,
Cu,1,256.3167,0.0021,256.3151,0.0020,10h,,,3/2,5/2,,
Cu,1,256.3553,0.0021,256.3546,0.0020,3h,,,5/2,7/2,,
Cu,1,256.3955,0.0021,256.3948,0.0020,3h,,,5/2,7/2,,
Cu,2,256.47257,0.00006,256.47264,0.00004,5100,,,4,5,,
Cu,2,256.50459,0.00007,256.50471,0.00005,2500,,,3,4,,
Cu,3,256.637,,,,400,,,,,,
Cu,1,256.7330,0.0021,256.7326,0.0009,2h,,,3/2,5/2,,
Cu,2,256.89061,0.00020,256.89075,0.00004,2400,,,1,2,,
Cu,1,256.9888,0.0021,256.9881,0.0013,10h,,,5/2,7/2,,
Cu,1,257.0800,0.0021,257.0804,0.0007,10h,,,5/2,5/2,,
Cu,2,257.17551,0.00006,257.175556,0.000008,220000,1.10e+07,C+,2,2,,
Cu,3,257.333,,,,400,,,,,,
Cu,2,257.44124,0.00007,257.44125,0.00005,2100,,,3,2,,
Cu,2,257.46371,0.00007,257.46371,0.00005,4600,,,4,5,,
Cu,1,257.712,0.006,257.718,0.007,2h,,,9/2,9/2,,
Cu,1,257.929,0.006,257.929,0.006,20h,,,9/2,11/2,,
Cu,1,258.057,0.006,258.0577,0.0005,5h,,,5/2,5/2,M1,
Cu,2,259.04012,0.00009,259.03994,0.00004,990,,,3,4,,
Cu,2,259.052825,0.000017,259.052826,0.000008,440000,6.0e+07,C+,2,1,,
Cu,1,259.365,0.006,259.352,0.013,2h,,,7/2,9/2,,
Cu,1,259.514,0.006,259.515,0.005,0h,,,7/2,5/2,,
Cu,2,259.88126,0.00006,259.881194,0.000010,400000,4.2e+07,C+,2,2,,
Cu,2,260.026992,0.000014,260.026973,0.000008,500000,1.01e+08,C+,3,2,,
Cu,2,260.45253,0.00021,260.45089,0.00011,870?,,,3,2,,
Cu,1,260.526,0.006,260.5256,0.0012,3h,,,3/2,5/2,,
Cu,2,260.65804,0.00014,260.65819,0.00005,1700,,,3,3,,
Cu,2,260.68761,0.00008,260.68759,0.00004,3400,,,3,4,,
Cu,2,260.69973,0.00010,260.69973,0.00004,2500,,,3,4,,
Cu,2,260.7041,,260.70410,0.00004,:,,,3,3,,
Cu,1,260.931,0.006,260.922,0.009,0h,,,1/2,3/2,,
Cu,3,260.932,,,,500,,,,,,
Cu,2,260.99088,0.00006,260.99094,0.00003,8400,,,4,5,,
Cu,2,261.07937,0.00014,261.07940,0.00005,1600,,,2,3,,
Cu,2,261.12544,0.00008,261.12546,0.00004,810,,,2,3,,
Cu,1,261.130,0.006,261.128,0.003,0h,,,3/2,3/2,,
Cu,2,261.44127,0.00007,261.44126,0.00007,15000,,,4,4,,
Cu,1,261.8366,0.0021,261.8368,0.0005,2500r,3.07e+07,C,5/2,3/2,,
