element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
O,2,229.3301,229.3297,,15,3.25e+07,C,1/2,1/2,,
O,2,,229.3430,,,5.07e+05,D,5/2,5/2,,
O,2,,229.5597,,,5.29e+05,D,3/2,5/2,,
O,3,,229.7160,,,4.30e+05,D,2,2,,
O,3,,229.7795,,,4.75e+05,D,1,2,,
O,2,,229.7957,,,4.40e+05,D,1/2,3/2,,
O,3,,229.9753,,,4.76e+04,D,2,1,,
O,2,230.0331,230.0333,,17,4.17e+07,C,3/2,3/2,,
O,2,,230.0424,,,8.77e+04,E,3/2,3/2,,
O,2,230.2808,230.2806,,14,1.67e+07,C,3/2,1/2,,
O,4,,230.317,,,3.15e+07,B,1/2,1/2,,
O,3,,230.6416,,,7.82e+05,D,2,1,,
O,2,,230.7645,,,,,3/2,5/2,,
O,2,,230.7648,,,,,3/2,3/2,,
O,2,230.7721,230.7729,,5*,,,5/2,5/2,,
O,2,230.7721,230.7733,,5*,,,5/2,3/2,,
O,3,,230.8711,,,1.27e+06,C,1,2,,
O,3,,230.8906,,,1.02e+06,C+,1,2,,
O,4,,231.111,,,3.12e+07,B,1/2,3/2,,
O,3,,231.1329,,,7.03e+05,D,1,1,,
O,3,,231.1525,,,1.53e+07,C+,2,2,,
O,3,,231.2254,,,1.40e+06,C,2,2,,
O,2,231.3077,231.3051,,8*,,,3/2,5/2,,
O,2,231.3077,231.3091,,8*,,,3/2,3/2,,
O,3,,231.4689,,,2.54e+07,C+,1,1,,
O,3,,231.5480,,,8.51e+07,C+,3,2,,
O,2,231.6139,231.6124,,9,,,3/2,5/2,,
O,3,,231.6390,,,9.32e+05,D,0,1,,
O,2,231.6765,231.6779,,9*,,,1/2,1/2,,
O,2,231.6765,231.6781,,9*,,,1/2,3/2,,
O,3,,231.7321,,,7.58e+07,C+,2,1,,
O,3,,231.9477,,,1.01e+08,C+,1,0,,
O,2,231.9687,231.9682,,11,,,3/2,5/2,,
O,3,,232.0951,,,2.15e-01,B+,1,0,M1,
O,2,232.2142,232.2141,,9,,,1/2,3/2,,
O,1,,232.47381,,,4.61e+00,C,0,1,,
O,2,232.4797,232.4803,,3,6.70e+06,D,3/2,1/2,,
O,2,232.5918,232.5921,,6,6.69e+06,D,3/2,3/2,,
O,2,232.7938,232.7947,,7,6.68e+06,D,3/2,5/2,,
O,3,,233.1398,,,6.34e-04,C,2,0,E2,
O,2,233.9302,233.9311,,6,,,3/2,5/2,,
O,2,,235.579,,,1.05e+06,D,1/2,3/2,,
O,2,,235.772,,,1.26e+06,D,3/2,5/2,,
O,2,,235.839,,,2.09e+05,E,3/2,3/2,,
O,3,,236.1237,,,3.32e+05,C,2,3,,
O,2,,236.5005,,,1.52e+06,D,3/2,3/2,,
O,2,236.5138,236.5140,,9,1.52e+07,D,3/2,1/2,,
O,3,,237.2215,,,1.16e+07,C+,3,3,,
O,3,,237.2831,,,1.63e+07,C+,2,2,,
O,3,,237.5414,,,1.23e+06,C,1,2,,
O,2,237.5731,237.5719,,11,1.35e+07,D,5/2,3/2,,
O,3,,237.8891,,,1.45e+08,C+,2,1,,
O,3,,238.2292,,,1.32e+08,C+,4,3,,
O,3,,238.3918,,,1.28e+08,C+,3,2,,
O,4,,238.446,,,6.21e+08,C+,3/2,5/2,,
O,4,,238.471,,,6.65e+08,C+,5/2,7/2,,
O,4,,238.471,,,4.43e+07,C+,5/2,5/2,,
O,3,,238.5273,,,3.66e+06,C,2,2,,
O,3,,238.6288,,,1.62e+06,C,0,1,,
O,3,239.044,239.0432,,200bl,1.62e+08,C,1,1,,
O,3,,239.1996,,,1.21e+06,D,1,1,,
O,3,239.433,,,80,,,,,,
O,3,,239.6989,,,4.81e+06,C,1,0,,
O,2,239.8902,239.8905,,2,1.97e+06,D,1/2,3/2,,
O,2,239.9189,239.9197,,7,2.37e+06,D,3/2,5/2,,
O,3,,240.1993,,,1.99e+06,C,2,1,,
O,2,240.2356,240.2350,,3,3.93e+05,E,3/2,3/2,,
O,2,240.6391,240.6376,,14,1.85e+07,C+,5/2,3/2,,
O,2,,240.6437,,,2.06e+06,C+,3/2,3/2,,
O,2,,240.7357,,,1.67e+06,D,3/2,5/2,,
O,2,240.7470,240.7477,,13,2.25e+07,D,3/2,3/2,,
O,2,241.1622,241.1597,,7*,2.05e+07,C+,3/2,1/2,,
O,2,241.1622,241.1644,,7*,1.10e+07,D,1/2,1/2,,
O,2,241.5121,241.5126,,6,2.20e+07,D,3/2,1/2,,
O,1,,241.74132,,,2.98e+05,D,1,0,,
O,1,,241.77154,,,7.45e+04,D,1,1,,
O,1,,241.77481,,,1.24e+05,D,2,1,,
O,1,,241.77573,,,9.93e+04,D,0,1,,
O,1,,241.82643,,,7.44e+04,D,1,2,,
O,1,,241.82970,,,2.23e+05,C,2,2,,
O,2,241.8459,241.8459,,14,2.30e+07,D,5/2,5/2,,
O,2,,241.8580,,,2.47e+06,D,5/2,3/2,,
O,3,,242.052,,,3.37e+06,C+,2,3,,
O,3,,242.114,,,2.36e+07,C+,3,3,,
O,4,,242.131,,,7.90e+04,C+,5/2,5/2,,
O,4,,242.147,,,1.66e+06,B,5/2,3/2,,
O,3,242.284,,,80,,,,,,
O,2,242.5564,242.5567,,15,1.77e+07,C+,5/2,5/2,,
O,2,,242.5628,,,1.27e+06,C+,3/2,5/2,,
O,3,,242.590,,,9.05e+07,C+,4,3,,
O,3,,242.631,,,4.10e+07,C+,2,2,,
O,3,,242.657,,,1.05e+07,C+,1,2,,
O,3,,242.692,,,6.56e+07,C+,3,2,,
O,3,,242.936,,,4.09e+07,C+,2,1,,
O,3,,242.961,,,5.25e+07,C+,1,1,,
O,3,,242.969,,,2.33e+07,C+,0,1,,
O,2,243.1652,243.1641,,5,8.10e+06,D,1/2,1/2,,
O,1,,243.200,,,3.71e+05,C,1,1,,
O,1,,243.203,,,6.19e+05,C,2,1,,
O,1,,243.204,,,1.23e+05,D,0,1,,
O,2,243.3534,243.3542,,20,4.21e+07,B,1/2,3/2,,
O,1,,243.399,,,1.28e+05,D,1,1,,
O,1,,243.403,,,1.70e+05,C,0,1,,
O,1,,243.431,,,2.32e+05,C,1,2,,
O,1,,243.435,,,7.70e+04,D,2,2,,
O,1,,243.465,,,3.13e+05,C,2,3,,
O,3,,243.4918,,,1.36e+07,C+,2,2,,
O,4,,243.501,,,1.55e+06,B,7/2,5/2,,
O,2,243.5189,243.5181,,2,4.03e+06,D,3/2,1/2,,
O,2,,243.5994,,,1.88e+06,C+,5/2,3/2,,
O,2,243.6051,243.6056,,14,1.69e+07,C+,3/2,3/2,,
O,2,243.8066,243.8067,,2,2.01e+06,D,1/2,3/2,,
O,3,243.883,243.8814,,80bl,1.40e+08,B,2,1,,
O,3,,244.104,,,4.84e+07,C+,3,3,,
O,3,,244.1351,,,7.50e+06,C+,2,1,,
O,2,244.1626,244.1626,,8,1.00e+07,D,3/2,3/2,,
O,3,,244.1704,,,4.50e+06,C+,1,2,,
O,2,244.4248,244.4251,,16,7.56e+06,B,3/2,3/2,,
O,3,,244.523,,,2.41e+07,C+,2,3,,
O,2,244.5538,244.5529,,22,4.98e+07,B,3/2,5/2,,
O,3,,244.693,,,3.36e+07,C+,3,2,,
O,3,,244.8172,,,4.46e+06,C+,1,1,,
O,7,,244.8876,0.0008,,2.514e+07,AA,0,1,,
O,4,244.9372,,,200,,,,,,
O,4,245.0040,,,200,,,,,,
O,3,,245.113,,,5.97e+06,C+,2,2,,
O,3,,245.1850,,,5.92e+06,C+,0,1,,
O,3,,245.345,,,3.21e+07,C+,1,2,,
O,3,,245.3529,,,1.77e+07,C+,1,0,,
O,3,,245.424,,,5.35e+07,C+,2,1,,
O,3,245.499,245.4966,,200,3.43e+08,B,1,0,,
O,3,,245.656,,,1.78e+07,C+,1,1,,
O,4,,246.693,,,1.09e+07,C+,3/2,5/2,,
O,4,,246.869,,,1.17e+07,C+,5/2,7/2,,
O,4,,246.869,,,7.79e+05,C+,5/2,5/2,,
O,2,,247.0219,,,2.12e-02,C+,3/2,1/2,M1,
O,2,,247.0219,,,3.72e-07,D,3/2,1/2,E2,
O,2,,247.0341,,,2.43e-07,C+,3/2,3/2,E2,
O,2,,247.0341,,,5.22e-02,C+,3/2,3/2,M1,
O,4,,248.323,,,4.43e+07,B,1/2,3/2,,
O,4,,248.412,,,3.86e+07,B,3/2,1/2,,
O,4,,249.339,,,1.18e+08,B,1/2,3/2,,
O,4,249.344,249.347,,200,1.91e+07,B,1/2,1/2,,
O,4,249.377,249.375,,200,8.48e+07,B,3/2,5/2,,
O,4,,249.395,,,8.75e+06,B,3/2,3/2,,
O,4,,249.399,,,6.09e+07,B,1/2,1/2,,
O,4,,249.575,,,5.24e+07,B,3/2,5/2,,
O,3,,249.6031,,,4.74e-03,C,2,2,,
O,4,,249.750,,,5.33e+07,B,1/2,3/2,,
O,4,,249.927,,,4.68e+07,B,1/2,1/2,,
O,4,,250.181,,,3.73e+07,B,3/2,3/2,,
O,4,,250.652,,,1.05e+08,B,3/2,3/2,,
O,4,250.773,250.773,,200,2.32e+08,B,3/2,1/2,,
O,4,250.919,250.922,,230,1.94e+08,B,5/2,5/2,,
O,4,,251.058,,,1.19e+08,B,3/2,1/2,,
O,4,251.72,251.737,,200,1.24e+08,B,5/2,3/2,,
O,2,251.7974,251.7964,,12,7.72e+06,D,3/2,5/2,,
O,4,,251.991,,,1.56e+08,B,5/2,3/2,,
O,2,,252.3061,,,2.41e+06,D,1/2,3/2,,
O,2,252.3212,252.3214,,7,9.63e+06,D,1/2,1/2,,
O,2,252.6869,252.6872,,11,1.20e+07,D,3/2,3/2,,
O,2,,252.7026,,,4.79e+06,D,3/2,1/2,,
O,3,,252.9327,,,3.01e+06,C+,2,3,,
O,2,,253.0112,,,5.44e+05,D,5/2,5/2,,
O,2,253.0274,253.0279,,13,8.16e+06,D,5/2,7/2,,
O,3,,253.4064,,,2.39e+07,C+,3,3,,
O,4,,253.904,,,1.77e+08,B,1/2,1/2,,
O,3,,253.9467,,,4.01e+06,C+,1,2,,
O,4,,254.181,,,3.53e+08,B,3/2,1/2,,
O,3,,254.2636,,,1.85e+07,C+,2,2,,
O,3,,254.6409,,,1.99e+07,C+,1,1,,
O,3,,254.7422,,,4.13e+06,C+,3,2,,
O,3,,254.9595,,,6.60e+06,C+,2,1,,
O,3,,254.9672,,,3.69e+04,C,1,2,,
O,3,255.806,255.8035,,200,1.38e+08,B,3,2,,
O,7,,251.00,0.05,,1.09e+08,A,2,1,,
O,4,,256.531,,,7.86e+06,B,3/2,1/2,,
O,3,,256.6488,,,2.39e+04,C,2,2,,
O,2,257.1454,257.1457,,11,1.15e+07,D,1/2,3/2,,
O,4,,257.356,,,8.90e+05,C+,5/2,5/2,,
O,4,,257.374,,,1.87e+07,C+,5/2,3/2,,
