element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,2,,,249.0245,,,2.61e+07,C,,
N,2,,,249.0309,,,2.49e+06,C+,,
N,2,,,249.3177,,,2.48e+06,C+,,
N,2,,,249.3934,,,4.13e+06,C+,,
N,2,249.683,,249.6810,,110,7.41e+06,C+,,
N,2,249.697,,,,70,,,,
N,2,252.022,,252.0215,,110,1.26e+07,C+,,
N,2,252.079,,252.0791,,160,1.70e+07,C+,,
N,2,252.223,,252.2235,,220,2.26e+07,C+,,
N,2,,,252.2459,,,9.42e+06,C+,,
N,2,,,252.4505,,,5.64e+06,C+,,
N,2,,,252.6177,,,6.25e+05,C,,
N,5,,,259.081,,,9.44e+07,A,,
N,2,259.094,,259.0938,,110,1.13e+07,D,,
N,5,,,259.144,,,9.43e+07,A,,
N,3,,,262.152,,,2.98e+07,B,,
N,3,,,262.323,,,5.96e+07,B,,
N,4,264.565,,264.562,,250,7.94e+08,C+,,
N,4,264.618,,264.619,,300*,6.95e+07,C+,,
N,4,264.618,,264.619,,300*,8.08e+08,C+,,
N,4,264.696,,264.698,,350*,5.40e+07,C+,,
N,4,264.696,,264.698,,350*,1.06e+06,C+,,
N,4,264.696,,264.698,,350*,8.63e+08,C+,,
N,4,,,264.988,,,1.07e+08,B,,
N,3,268.218,,,,250w,,,,
N,3,,,268.691,,,9.26e+07,C+,,
N,3,268.920,,268.921,,90*,6.60e+06,C+,,
N,3,268.920,,268.921,,90*,9.90e+07,C+,,
N,3,,,269.611,,,1.59e+07,B,,
N,3,,,269.670,,,1.59e+07,B,,
N,2,270.984,,270.9841,,160,2.64e+07,B,,
N,3,,,271.398,,,1.27e+06,B,,
N,3,,,271.407,,,1.06e+06,B,,
N,3,,,271.439,,,2.11e+05,B,,
N,3,,,273.436,,,1.09e+07,B,,
N,2,,,273.4735,,,5.03e+06,B,,
N,3,,,274.285,,,2.16e+07,B,,
N,2,,,274.4678,,,4.28e+04,D,,
N,5,,,274.865,,,2.85e+07,B,,
N,5,,,274.895,,,2.85e+07,B,,
