element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ag,2,258.40917,0.00010,258.409063,0.000020,1400,,,2,1,,
Ag,2,258.724,0.004,258.724477,0.000020,1100,2.0e+06,E,1,0,,
Ag,2,259.549487,0.000020,259.549481,0.000010,8100,2.8e+07,C+,2,2,,
Ag,2,259.684600,0.000020,259.684607,0.000020,24000,,,4,4,,
Ag,2,259.836,0.005,259.838439,0.000015,3400,8.0e+06,C+,3,4,,
Ag,2,260.597631,0.000020,260.597632,0.000010,24000,3.0e+07,C+,3,3,,
Ag,2,261.439776,0.000021,261.439778,0.000010,21000,1.36e+08,C+,2,1,,
Ag,2,261.70020,0.00003,261.700202,0.000021,3600,6.9e+07,B+,1,0,,
Ag,2,262.4947,0.0006,262.49459,0.00010,20,,,4,3,,
Ag,2,262.551589,0.000021,262.551592,0.000011,8200,3.00e+07,B+,3,3,,
Ag,2,265.65404,0.00004,265.654043,0.000014,2500,1.3e+07,D+,3,2,,
Ag,2,265.680859,0.000021,265.680863,0.000012,6200,2.90e+07,B+,1,2,,
Ag,2,265.74137,0.00003,265.74137,0.00003,7000,,,2,1,,
Ag,2,266.044956,0.000021,266.044959,0.000009,26000,1.51e+07,C+,2,1,,
Ag,2,266.317552,0.000021,266.317552,0.000021,39000,,,4,5,,
Ag,2,266.91994,0.00005,266.91992,0.00004,2100,,,3,2,,
Ag,2,268.119774,0.000022,268.119759,0.000010,24000,6.0e+07,D+,1,2,,
Ag,2,268.81976,0.00006,268.819709,0.000013,2300,1.40e+07,B+,1,2,,
Ag,2,271.107823,0.000022,271.107830,0.000012,8900,4.8e+07,D+,1,1,,
Ag,2,271.187305,0.000022,271.187292,0.000013,91000,2.0e+08,C+,4,3,,
Ag,1,272.177,,272.1764,0.0007,50,,,5/2,5/2,,
Ag,2,272.873,0.004,272.877443,0.000013,590,1.0e+06,E,2,2,,
