element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Fe,3,202.4089,0.0005,202.40937,0.00020,1200,,,2,1,,
Fe,1,202.4135,0.00025,202.413092,0.000007,0d?,,,4,4,,
Fe,2,202.4539,0.0005,202.454915,0.000010,500,,,7/2,5/2,,
Fe,1,202.4692,0.00025,202.469133,0.000007,0,,,4,5,,
Fe,2,202.4728,0.0005,202.472861,0.000017,700bl(Ar I),,,5/2,7/2,,
Fe,26,,,202.52,0.05,,1.9287e+07,AA,1/2,3/2,,
Fe,2,202.52769,0.00003,202.527679,0.000010,1100,,,9/2,7/2,,
Fe,3,202.5288,0.0005,202.52901,0.00021,31000,1.9e+07,D,5,5,,
Fe,1,202.5361,0.00025,202.535973,0.000010,(0),,,2,3,,
Fe,1,202.54615,0.00006,202.546119,0.000010,20,,,4,4,,
Fe,2,202.5482,0.0005,202.54878,0.00003,700bl(Zn I),,,1/2,1/2,,
Fe,3,202.5495,0.0005,202.55023,0.00016,42000,6.8e+07,D+,4,4,,
Fe,3,202.5582,0.0005,202.55700,0.00016,57000,2.6e+08,C,2,3,,
Fe,3,202.5755,0.0005,202.5746,0.0003,1600,8.e+06,D,4,5,,
Fe,1,202.5823,0.00025,202.581899,0.000010,1,,,3,2,,
Fe,3,202.6046,0.0005,202.60475,0.00021,140000,2.9e+08,C+,6,6,,
Fe,2,202.6057,0.0005,202.604824,0.000010,250bl(Fe III),,,9/2,7/2,,
Fe,1,202.6261,0.0010,202.625303,0.000014,0d?,,,3,4,,
Fe,2,202.63229,0.00015,202.632183,0.000010,250,,,9/2,9/2,,
Fe,1,202.6491,0.00025,202.648990,0.000010,0,,,4,5,,
Fe,2,202.68870,0.00011,202.688740,0.000010,500,,,3/2,5/2,,
Fe,2,202.77767,0.00007,202.777699,0.000013,6000,6.6e+06,D+,5/2,5/2,,
Fe,2,202.8198,0.0005,202.819678,0.000011,1300,,,3/2,3/2,,
Fe,3,202.8232,0.0005,202.8235,0.0003,1500,,,2,1,,
Fe,1,202.8464,0.00025,202.846558,0.000007,0d?,,,1,2,,
Fe,3,202.8564,0.0005,202.8564,0.0004,17000,3.0e+08,C,1,2,,
Fe,2,202.85779,0.00011,202.857879,0.000010,500,2.3e+06,D,7/2,7/2,,
Fe,1,202.8719,0.00025,202.871582,0.000010,1,,,1,2,,
Fe,3,,,202.9095,0.0004,,9.e+00,D+,4,4,E2,
Fe,2,202.91837,0.00003,202.918366,0.000011,8000,6.0e+06,D+,9/2,7/2,,
Fe,3,202.9530,0.0005,202.95319,0.00021,42000,1.6e+08,D+,2,3,,
Fe,2,202.9882,0.0005,202.988049,0.000013,600d?,,,9/2,7/2,,
Fe,1,202.9955,0.00025,202.995069,0.000014,1,,,1,1,,
Fe,2,203.0103,0.0005,203.010237,0.000013,140d?,,,5/2,7/2,,
Fe,3,,,203.0526,0.0004,,1.6e+01,C,4,5,E2,
Fe,2,203.0644,0.0005,203.064258,0.000011,900,,,5/2,3/2,,
Fe,3,203.0772,0.0005,203.0773,0.0005,31000,3.9e+08,C,0,1,,
Fe,2,203.1232,0.0005,203.122964,0.000010,1100,,,5/2,5/2,,
