element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ni,2,228.765,,,,500,,,,,,
Ni,1,,,228.83979,,,8.1e+06,D,2,3,,
Ni,1,228.998,,228.99836,,1600,2.1e+08,C,4,3,,
Ni,1,,,229.31193,,,3.8e+07,C,2,2,,
Ni,2,229.655,,229.6550,,400,1.98e+08,B,7/2,7/2,,
Ni,2,229.714,,229.7141,,400,2.70e+08,B,5/2,3/2,,
Ni,2,,,229.7489,,,3.0e+08,B,3/2,1/2,,
Ni,2,,,229.8267,,,2.8e+08,C,5/2,5/2,,
Ni,1,230.078,,230.07776,,630,7.5e+07,C,3,3,,
Ni,4,,,230.145,,,1.0e-03,E,9/2,5/2,E2,
Ni,1,,,230.29451,,,4.5e+07,C,1,1,,
Ni,2,230.300,,230.2992,,1000,2.9e+08,C,7/2,5/2,,
Ni,4,,,230.671,,,6.0e-01,E,1/2,5/2,E2,
Ni,1,,,230.73579,,,1.6e+07,C,2,3,,
Ni,1,231.096,,,,2000,,,,,,
Ni,1,231.234,,231.23437,,1700,5.5e+08,C,3,3,,
Ni,1,231.366,,,,1400,,,,,,
Ni,1,231.398,,231.39827,,1400,5.0e+08,E,2,2,,
Ni,2,231.604,,231.6036,,1000,2.88e+08,B,9/2,7/2,,
Ni,1,231.716,,231.71645,,1400,3.8e+08,C,3,2,,
Ni,2,231.975,,,,500,,,,,,
Ni,1,232.003,,232.00341,,2600,6.9e+08,C,4,5,,
Ni,1,232.138,,232.13831,,1900,5.6e+08,E,2,3,,
Ni,14,,,232.2,0.3,,2.10e+02,C,5/2,3/2,M1,
Ni,14,,,232.2,0.3,,2.3e+00,D,5/2,3/2,E2,
Ni,1,232.268,,,,240,,,,,,
Ni,1,,,232.4655,,,1.8e+07,D,3,4,,
Ni,1,232.579,,232.58012,,1400,3.5e+08,C,3,4,,
Ni,2,,,232.6451,,,3.3e+07,D,3/2,3/2,,
Ni,1,232.996,,232.99705,,940,5.3e+08,C,2,1,,
Ni,2,233.458,,233.4586,,500,8.0e+07,C,7/2,7/2,,
Ni,1,233.749,,,,460,,,,,,
Ni,1,233.782,,,,160,,,,,,
Ni,4,,,234.073,,,5.5e-03,E,1/2,3/2,M1,
Ni,4,,,234.073,,,1.2e+00,E,1/2,3/2,E2,
Ni,2,234.120,,,,500,,,,,,
Ni,4,,,234.291,,,5.6e-02,D,7/2,7/2,M1,
Ni,4,,,234.291,,,7.5e-04,E,7/2,7/2,E2,
Ni,1,234.554,,234.55432,,1200,2.2e+08,C,4,3,,
Ni,1,234.663,,234.66307,,190,5.5e+07,D,3,2,,
Ni,1,234.752,,234.75142,,400,2.2e+07,D,4,4,,
Ni,1,,,234.87357,,,2.2e+07,E,3,3,,
Ni,2,,,235.6403,,,2.8e+07,C,5/2,5/2,,
Ni,1,236.063,,,,160,,,,,,
Ni,1,236.206,,,,200,,,,,,
Ni,4,,,236.626,,,7.2e-02,D,7/2,5/2,M1,
Ni,4,,,236.626,,,9.9e-04,E,7/2,5/2,E2,
Ni,2,,,236.7384,,,7.4e+06,B,7/2,7/2,,
Ni,2,237.542,,237.5420,,1000,6.6e+07,B,5/2,7/2,,
Ni,5,,,238.4729,0.0017,,1.080e+00,C+,4,3,M1,
Ni,1,238.658,,,,240,,,,,,
Ni,2,,,238.7763,,,1.59e+07,B,7/2,7/2,,
Ni,4,,,239.069,,,1.2e-01,D,5/2,7/2,M1,
Ni,4,,,239.069,,,2.2e-03,E,5/2,7/2,E2,
Ni,2,239.452,,239.4523,,1000,1.70e+08,B,7/2,9/2,,
Ni,17,,,240.19,,,1.3e-01,E,0,2,E2,
Ni,2,,,241.0746,,,1.0e+06,D,7/2,5/2,,
Ni,2,,,241.2266,,,2.4e+05,C,5/2,7/2,,
Ni,2,,,241.3039,,,8.3e+06,B,5/2,3/2,,
Ni,4,,,241.502,,,5.5e-02,D,5/2,5/2,M1,
Ni,4,,,241.502,,,1.3e-03,E,5/2,5/2,E2,
Ni,2,241.613,,241.6135,,2000,2.1e+08,C,5/2,7/2,,
Ni,1,241.931,,241.93128,,240,2.0e+07,E,3,2,,
Ni,1,242.123,,,,85,,,,,,
Ni,1,242.333,,,,70,,,,,,
Ni,1,242.366,,,,70,,,,,,
Ni,1,242.403,,,,70,,,,,,
Ni,4,,,242.424,,,4.9e-04,E,3/2,7/2,E2,
Ni,2,,,243.3555,,,7.3e+06,B,5/2,5/2,,
Ni,5,,,243.6434,0.0018,,3.2e-01,C+,3,3,M1,
Ni,2,243.789,,243.7889,,500,5.4e+07,C,7/2,9/2,,
Ni,4,,,244.465,,,9.9e-03,D,5/2,5/2,M1,
Ni,4,,,244.465,,,5.4e-01,E,5/2,5/2,E2,
Ni,4,,,244.925,,,2.8e-01,D,3/2,5/2,M1,
Ni,4,,,244.925,,,4.9e-03,E,3/2,5/2,E2,
Ni,5,,,245.3977,0.0018,,1.12e-01,D+,3,2,M1,
Ni,1,245.399,,,,85,,,,,,
Ni,25,,,246.7,,,1.160e+03,C+,0,1,M1,
Ni,1,247.206,,,,160,,,,,,
Ni,5,,,247.2609,0.0018,,2.07e-01,C+,2,3,M1,
Ni,1,247.687,,247.68758,,85,2.6e+06,C,4,3,,
Ni,4,,,247.989,,,1.5e-01,E,9/2,5/2,E2,
Ni,4,,,248.289,,,1.2e+00,D,5/2,3/2,M1,
Ni,4,,,248.289,,,1.4e-01,E,5/2,3/2,E2,
Ni,5,,,248.6101,0.0025,,1.64e-02,D+,2,1,M1,
Ni,5,,,249.0679,0.0019,,5.2e-01,C+,2,2,M1,
Ni,5,,,250.992,0.003,,6.9e-01,C+,1,1,M1,
Ni,2,251.087,,251.0874,,500,5.8e+07,B,7/2,9/2,,
Ni,27,,,251.0,1.0,,2.2e+07,D,0,1,,
Ni,5,,,251.459,0.003,,4.1e-01,C+,1,2,M1,
Ni,5,,,252.171,0.003,,5.7e-01,C+,0,1,M1,
Ni,27,,,256.5,0.7,,,,0,1,,
Ni,14,,,253.996,0.005,,1.60e+02,C,3/2,1/2,M1,
Ni,14,,,253.996,0.005,,1.4e+00,D,3/2,1/2,E2,
Ni,1,,,254.00220,,,2.6e+06,D,2,3,,
Ni,2,,,254.5899,,,1.56e+07,B,5/2,7/2,,
Ni,4,,,254.947,,,5.9e-01,D,3/2,5/2,M1,
Ni,4,,,254.947,,,3.6e-03,E,3/2,5/2,E2,
Ni,1,,,255.33787,,,6.0e+05,D,3,2,,
Ni,1,,,256.14238,,,3.7e+05,D,3,3,,
