element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,diag_lines,
Ar,2,218.73153,0.00001,218.731538,0.000004,155,,,7/2,7/2,,,
Ar,3,218.81716,0.00004,218.81716,0.00003,10,,,3,2,,,
Ar,2,218.8350,0.0006,218.835638,0.000004,0,,,7/2,5/2,,,
Ar,2,218.84935,0.00001,218.849338,0.000004,37,,,3/2,1/2,,,
Ar,2,218.895,0.002,218.896067,0.000004,0,,,3/2,3/2,,,
Ar,2,219.0235,0.0006,219.023457,0.000004,2,,,7/2,7/2,,,
Ar,2,219.05107,0.00001,219.051074,0.000004,135,,,1/2,3/2,,,
Ar,3,219.11209,0.00007,219.11208,0.00007,5,,,2,1,,,
Ar,2,219.11472,0.00007,219.114755,0.000008,5,,,5/2,3/2,,,
Ar,2,219.12870,0.00001,219.128691,0.000004,50,,,7/2,9/2,,,
Ar,2,219.15789,0.00001,219.157871,0.000004,48,,,3/2,5/2,,,
Ar,3,219.20137,0.00003,219.20136,0.00003,17,,,4,3,,,
Ar,2,219.2224,0.0006,219.222599,0.000005,2,,,3/2,3/2,,,
Ar,2,219.49071,0.00005,219.490693,0.000005,8,,,5/2,5/2,,,
Ar,2,219.53546,0.00008,219.535388,0.000007,7,,,1/2,1/2,,,
Ar,2,219.54437,0.00001,219.544371,0.000004,59,,,5/2,7/2,,,
Ar,2,219.63920,0.00010,219.639283,0.000010,5,,,1/2,3/2,,,
Ar,2,219.7072,0.0006,219.708165,0.000004,0,,,3/2,3/2,,,
Ar,2,219.7786,0.0006,219.778139,0.000004,1,,,1/2,1/2,,,
Ar,2,220.12416,0.00004,220.124175,0.000008,9,,,7/2,5/2,,,
Ar,2,220.1573,0.0006,220.15778,0.00004,1,,,7/2,5/2,,,
Ar,2,220.2135,0.0006,220.213451,0.000003,1,,,1/2,3/2,,,
Ar,2,220.46981,0.00007,220.469797,0.000003,6,,,3/2,3/2,,,
Ar,2,220.57332,0.00001,220.573313,0.000005,95,,,1/2,1/2,,,
Ar,2,220.81507,0.00010,220.815071,0.000003,5,,,3/2,1/2,,,
Ar,2,221.03173,0.00003,221.031707,0.000003,12,,,5/2,5/2,,,
Ar,2,221.0883,0.0012,221.082855,0.000004,3bl,i,,,5/2,7/2,,,
Ar,2,221.2094,0.0012,221.20780,0.00006,0.5m?*,,,3/2,5/2,,,
Ar,2,221.2094,0.0012,221.210161,0.000003,0.5m?*,,,5/2,5/2,,,
Ar,2,221.4147,0.0006,221.415069,0.000004,1,,,5/2,3/2,,,
Ar,2,221.61849,0.00001,221.618488,0.000003,87,,,5/2,3/2,,,
Ar,2,221.8375,0.0006,221.836904,0.000004,1,,,3/2,1/2,,,
Ar,2,221.88032,0.00001,221.880315,0.000003,132,,,3/2,1/2,,,
Ar,2,221.99624,0.00001,221.996243,0.000003,117,,,5/2,7/2,,,
Ar,2,222.03507,0.00003,222.035079,0.000010,13,,,3/2,3/2,,,
Ar,2,222.13518,0.00003,222.135203,0.000007,14,,,3/2,1/2,,,
Ar,2,222.20674,0.00002,222.206789,0.000003,19,,,5/2,3/2,,,
Ar,2,222.2408,0.0006,222.241574,0.000010,0.5,,,3/2,3/2,,,
Ar,2,222.4550,0.0006,222.455343,0.000003,1,,,5/2,3/2,,,
Ar,2,222.56602,0.00001,222.566019,0.000003,309,,,5/2,5/2,,,
Ar,2,222.72977,0.00001,222.729759,0.000006,62,,,5/2,5/2,,,
Ar,2,222.9024,0.0012,222.901814,0.000004,0.5bl,,,5/2,3/2,,,
Ar,2,222.95322,0.00004,222.953176,0.000003,11,,,3/2,3/2,,,
Ar,2,222.96465,0.00001,222.964651,0.000003,603,,,5/2,7/2,,,
Ar,2,223.03202,0.00003,223.031968,0.000004,13,,,3/2,3/2,,,
Ar,2,223.10253,0.00003,223.102521,0.000010,13,,,1/2,1/2,,,
Ar,2,223.14204,0.00001,223.142043,0.000003,240,,,3/2,3/2,,,
Ar,2,223.34783,0.00001,223.347848,0.000003,50,,,3/2,1/2,,,
