element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
S,4,228.6161,,228.6169,,2,,,1/2,3/2,,
S,4,228.6573,,228.6577,,4,,,1/2,3/2,,
S,4,,,228.732,,,2.13e07,D,1/2,1/2,,
S,4,228.7508,,228.7493,,2,3.71e07,D,5/2,3/2,,
S,8,,,228.8,,,1.11e01,C,3/2,5/2,M1,
S,6,,,229.22,,,8.61e06,B,3/2,5/2,,
S,6,,,229.22,,,1.45e06,B,3/2,3/2,,
S,4,229.4381,,229.4371,,5,,,5/2,5/2,,
S,2,229.7343,0.0009,229.7347,0.0008,140,,,1/2,1/2,,
S,2,229.9377,0.0009,229.9368,0.0008,140,,,3/2,1/2,,
S,6,,,229.94,,,1.24e07,B,1/2,3/2,,
S,4,,,229.981,,,1.24e08,D,7/2,7/2,,
S,4,230.0117,,230.0136,,2w,,,3/2,5/2,,
S,4,,,230.057,,,5.86e07,D,1/2,1/2,,
S,6,,,230.12,,,1.30e07,B,1/2,1/2,,
S,2,230.1839,0.0009,230.1852,0.0004,220,,,7/2,5/2,,
S,2,230.2830,0.0009,230.2845,0.0004,140,,,5/2,3/2,,
S,10,,,230.45,,,2.76e-01,A,5/2,1/2,E2,
S,2,230.4541,0.0009,230.4545,0.0007,86,,,3/2,3/2,,
S,4,,,230.518,,,2.05e07,D,5/2,3/2,,
S,4,230.5615,,230.5595,,1,8.36e06,D,7/2,5/2,,
S,2,230.6173,0.0009,230.6167,0.0007,140,,,5/2,3/2,,
S,6,,,230.67,,,6.61e07,A,5/2,7/2,,
S,6,,,230.67,,,6.16e07,A,3/2,5/2,,
S,6,,,230.67,,,4.41e06,B,5/2,5/2,,
S,4,230.9438,,230.9436,,4,1.45e08,D,1/2,3/2,,
S,4,231.0955,,231.0974,,4,2.90e08,D,3/2,1/2,,
S,2,231.9048,0.0009,231.9048,0.0009,83,,,3/2,1/2,,
S,4,231.9902,,231.9920,,1,4.57e07,D,3/2,3/2,,
S,2,232.0155,0.0009,232.0155,0.0009,83,,,5/2,3/2,,
S,4,232.3469,,232.3468,,1,,,7/2,5/2,,
S,5,,,232.511,,,2.57e-01,C,2,1,M1,
S,5,,,232.511,,,7.84e-03,C,2,1,E2,
S,4,,,232.555,,,2.00e03,D,1/2,3/2,,
S,4,232.5630,,232.5614,,5,5.00e07,D,1/2,3/2,,
S,4,232.7874,,232.7872,,1w,9.97e07,D,1/2,1/2,,
S,4,,,233.059,,,4.14e03,D,1/2,1/2,,
S,4,233.0666,,233.0662,,6w,4.63e07,D,3/2,5/2,,
S,2,233.2493,0.0007,233.2485,0.0005,5900,2.42e07,D,3/2,3/2,,
S,4,,,233.388,,,7.91e07,D,3/2,3/2,,
S,2,233.4037,0.0016,233.4014,0.0004,800*,1.34e06,D,5/2,3/2,,
S,2,233.4037,0.0016,233.4029,0.0016,800*,,,5/2,7/2,,
S,2,233.4746,0.0007,233.4743,0.0005,1200,2.21e06,D,3/2,5/2,,
S,4,233.4965,,233.4947,,6,1.01e08,D,3/2,5/2,,
S,4,233.5721,,233.5721,,4w,2.81e07,D,5/2,7/2,,
S,4,,,233.616,,,9.84e07,D,3/2,1/2,,
S,2,233.6270,0.0006,233.6275,0.0004,12000,2.26e07,D,5/2,5/2,,
S,5,,,233.672,,,1.66e-01,C,4,3,M1,
S,4,234.2624,,234.2624,,4,1.50e08,D,5/2,3/2,,
S,4,234.5583,,234.5620,,4,1.12e08,D,5/2,5/2,,
S,4,,,234.888,,,6.79e07,D,5/2,3/2,,
S,5,,,235.21,,,2.36e07,E,0,1,,
S,5,,,235.33,,,7.05e07,D,1,1,,
S,5,,,235.68,,,1.17e08,D,2,1,,
S,2,235.7751,0.0007,235.7747,0.0004,5600,4.55e06,D,5/2,7/2,,
S,4,235.7966,,235.7947,,4,2.29e08,D,5/2,5/2,,
S,3,235.9186,,235.9207,,8,,,1,1,,
S,11,,,235.9,,,5.64e04,E',1,2,,
S,2,236.1151,0.0007,236.1148,0.0005,3800,3.87e06,D,3/2,5/2,,
S,2,236.2727,0.0007,236.2715,0.0004,1700,7.59e05,D,5/2,5/2,,
S,4,,,236.408,,,2.18e07,D,3/2,1/2,,
S,5,236.4637,,236.4652,,4,,,4,3,,
S,4,236.5890,,236.5883,,8,1.63e08,D,7/2,7/2,,
S,5,236.6769,,236.6785,,3,1.29e08,D,3,2,,
S,13,,,237,,,2.69e07,C,2,3,,
S,2,237.4363,0.0010,237.4361,0.0017,73*,,,3/2,3/2,,
S,2,237.4363,0.0010,237.4361,0.0017,73*,,,3/2,1/2,,
S,4,237.6048,,237.6040,,2,3.56e07,D,7/2,5/2,,
