element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
C,2,232.352,0.003,232.3522,0.0016,2,1.40e+00,A,,
C,2,232.472,0.003,232.4716,0.0016,28,5.99e+01,A,,
C,2,232.5407,0.0024,232.5419,0.0016,57,4.43e+01,A,,
C,2,232.697,0.003,232.6951,0.0016,9,8.47e+00,A,,
C,2,232.815,0.003,232.8149,0.0016,33,6.78e+01,A,,
C,4,,,233.601,,,1.62e+07,B+,,
C,4,,,233.639,,,3.23e+07,B+,,
C,4,,,234.719,,,1.10e+06,B+,,
C,4,,,234.728,,,9.91e+06,B+,,
C,4,,,234.728,,,1.10e+07,B+,,
C,2,237.508,0.006,237.4988,0.0010,72hql*,1.8e+07,C,,
C,2,237.508,0.006,237.5069,0.0010,72hql*,2.0e+07,C,,
C,2,237.508,0.006,237.5070,0.0010,72hql*,1.3e+06,C,,
C,2,240.1761,0.0009,240.1755,0.0006,120ql,2.57e+07,B,,
C,2,240.2402,0.0009,240.2398,0.0006,200ql,5.13e+07,B,,
C,4,,,240.444,,,2.97e+08,A,,
C,4,,,240.510,,,3.56e+08,A,,
C,4,,,240.520,,,5.93e+07,A,,
C,2,,,242.6620,0.0011,,3.5e+05,C+,,
C,2,242.670,0.004,242.6677,0.0014,40ql*,3.46e+06,B,,
C,2,242.670,0.004,242.6705,0.0011,40ql*,3.11e+06,B,,
C,2,243.0780,0.0020,243.0759,0.0009,31,4.46e+06,B,,
C,2,243.212,0.004,243.212,0.004,24whu,4.4e+06,C,,
C,2,243.290,0.004,243.290,0.004,24whu,,,,
C,2,243.3490,0.0020,243.3491,0.0011,24,4.46e+06,B,,
C,2,243.424,0.004,243.4278,0.0024,40wh,5.22e+07,C+,,
C,2,243.481,0.006,243.462,0.003,31wh*,4.0e+07,C,,
C,2,243.481,0.006,243.488,0.006,31wh*,2.9e+07,C,,
C,2,243.481,0.006,243.493,0.006,31wh*,3.9e+07,C,,
C,2,,,243.4882,0.0024,,4.44e+06,B,,
C,2,,,244.183,0.008,,3.1e+06,E,,
C,2,,,244.187,0.013,,3.2e+06,E,,
C,2,,,244.20,0.03,,3.3e+06,E,,
C,2,,,244.233,0.010,,1.4e+06,E,,
C,2,,,244.266,0.013,,6.1e+05,E,,
C,2,,,244.27,0.03,,1.0e+05,E,,
C,2,,,244.2928,0.0008,,5.0e+06,C,,
C,2,,,244.32,0.03,,1.1e+06,E,,
C,2,,,244.4593,0.0008,,2.0e+06,E,,
C,2,,,244.49,0.03,,8.e+04,E,,
C,3,,,245.725,,,1.18e+07,B,,
C,1,247.85612,0.00010,247.856140,0.000019,640000000,2.8e+07,C+,,
C,2,249.087,0.006,249.087,0.011,39wh*,,,,
C,2,249.087,0.006,249.087,0.009,39wh*,6.9e+06,C,,
C,2,249.087,0.006,249.087,0.014,39wh*,2.8e+07,C,,
C,2,,,249.11,0.03,,2.5e+07,C,,
C,2,,,249.121,0.014,,9.e+06,E,,
C,2,249.137,0.004,249.1405,0.0008,39wh,3.5e+07,C,,
C,2,,,249.150,0.009,,1.3e+06,E,,
C,2,,,249.17,0.03,,1.9e+06,E,,
C,2,,,249.173,0.014,,4.8e+05,E,,
C,2,250.9121,0.0007,250.9126,0.0004,670,4.71e+07,A,,
C,2,251.1734,0.0007,251.1736,0.0003,250,9.26e+06,A,,
C,2,251.2065,0.0007,251.2060,0.0004,1000,5.62e+07,A,,
C,4,252.441,0.005,,,200l,,,,
C,4,252.998,0.005,,,300s,,,,
C,2,253.8980,0.0020,253.8970,0.0010,38,8.66e+06,B,,
C,2,254.0390,0.0020,254.0410,0.0010,48,2.01e+07,B,,
C,2,254.0880,0.0020,254.0895,0.0012,29,1.20e+07,B,,
C,2,,,254.1951,0.0012,,3.82e+06,B,,
C,2,,,254.241,0.003,,4.78e+06,B,,
C,2,254.345,0.006,254.3395,0.0012,53*,1.29e+07,B,,
C,2,254.345,0.006,254.347,0.003,53*,2.39e+07,B,,
C,2,,,254.372,0.004,,2.9e+04,C,,
C,2,,,254.501,0.004,,5.62e+05,B,,
C,2,,,254.520,0.008,,5.3e+04,C,,
C,2,,,254.606,0.008,,9.59e+05,B,,
C,2,,,254.649,0.010,,1.10e+06,B,,
C,2,254.681,0.004,254.681,0.004,37h,4.92e+06,B,,
C,2,254.735,0.006,254.735,0.014,29h*,5.50e+06,B,,
C,2,254.735,0.006,254.735,0.008,29h*,4.49e+06,B,,
C,2,254.735,0.006,254.735,0.010,29h*,4.41e+06,B,,
C,2,255.4478,0.0007,255.4478,0.0003,49,1.04e+07,E,,
C,2,255.5660,0.0020,255.5668,0.0005,29,8.5e+06,E,,
C,2,255.6120,0.0020,255.6150,0.0005,22,4.1e+06,E,,
C,2,257.057,0.004,257.057,0.004,37wh,,,,
C,2,257.176,0.004,257.176,0.004,29h,,,,
C,2,257.483,0.003,257.4763,0.0008,160hql*,3.4e+07,C,,
C,2,257.483,0.003,257.4856,0.0008,160hql*,3.7e+07,C,,
C,2,257.483,0.003,257.4859,0.0008,160hql*,2.5e+06,C,,
C,1,258.29010,0.00020,258.289728,0.000020,530000,5.8e+03,C+,,
C,4,,,259.109,,,2.52e+07,B+,,
C,4,,,259.125,,,2.52e+07,B+,,
C,2,259.1410,0.0007,259.1404,0.0006,49,2.04e+07,B,,
C,2,259.1845,0.0007,259.1842,0.0007,81,2.44e+07,B,,
C,2,259.2710,0.0020,259.2715,0.0006,28,4.09e+06,B,,
C,4,,,259.482,,,6.68e+06,A,,
C,4,,,259.509,,,6.01e+07,A,,
C,4,,,259.530,,,6.67e+07,A,,
C,2,,,259.698,0.004,,1.4e+05,E,,
C,2,,,259.766,0.004,,9.e+05,E,,
C,2,,,259.885,0.009,,2.0e+05,E,,
C,2,,,259.942,0.009,,4.9e+05,E,,
C,2,,,259.982,0.011,,2.1e+05,E,,
C,2,,,260.011,0.009,,2.9e+05,E,,
C,2,,,260.019,0.011,,3.1e+05,E,,
C,2,,,260.072,0.014,,4.1e+05,E,,
C,2,,,260.076,0.011,,4.5e+05,E,,
C,2,260.1050,0.0020,260.1074,0.0004,28,3.34e+06,B,,
C,2,,,260.109,0.014,,5.4e+05,E,,
C,2,260.142,0.006,260.1435,0.0005,49*,6.67e+06,B,,
C,2,260.142,0.006,260.1467,0.0003,49*,3.10e+06,B,,
C,2,260.2020,0.0020,260.2046,0.0004,37,5.31e+06,B,,
C,2,260.239,0.006,260.2407,0.0005,49*,6.66e+06,B,,
C,2,260.239,0.006,260.2409,0.0004,49*,1.90e+06,B,,
C,2,260.3161,0.0007,260.3161,0.0003,60,7.61e+06,B,,
C,2,260.3720,0.0020,260.3741,0.0003,28,4.64e+06,B,,
C,2,260.4863,0.0007,260.4874,0.0004,80,1.14e+07,B,,
C,2,260.5620,0.0020,260.5627,0.0003,28,2.52e+06,B,,
